num__items,c__quicksort,cpp__quicksort,rust__sort,rust__unstable_sort
38000,0.003932,0.002601,0.0020761,0.0000222
38000,0.003476,0.002069,0.0014876,0.0000221
38000,0.003634,0.001948,0.001519,0.0000221
38000,0.004320,0.001979,0.0017314,0.0000221
39000,0.003344,0.002107,0.0016146,0.0000221
39000,0.003465,0.002121,0.0016299,0.0000226
39000,0.003783,0.002101,0.0019374,0.0000232
39000,0.004065,0.002070,0.001572,0.0000354
39000,0.004113,0.002303,0.0016099,0.0000228
40000,0.003818,0.003015,0.001982,0.000024
40000,0.003755,0.002193,0.0015682,0.0000232
40000,0.004340,0.002136,0.0016078,0.0000233
40000,0.003659,0.002230,0.0018792,0.0000234
40000,0.003946,0.002065,0.0016144,0.0000232
41000,0.003609,0.002197,0.0017489,0.0000231
41000,0.003893,0.002176,0.00174,0.0000232
41000,0.004085,0.002340,0.002079,0.000024
41000,0.003969,0.002182,0.0022547,0.0000239
41000,0.004100,0.002316,0.001974,0.0000239
42000,0.004266,0.002976,0.0018881,0.0000237
42000,0.003988,0.002337,0.0018023,0.0000236
42000,0.004725,0.002488,0.0018378,0.0000244
42000,0.004096,0.002790,0.0017774,0.0000244
42000,0.003999,0.002194,0.0018311,0.0000244
43000,0.003937,0.002488,0.0022578,0.000027
43000,0.004255,0.002434,0.0018379,0.0000249
43000,0.004136,0.002397,0.0018788,0.000025
43000,0.004014,0.002337,0.0018029,0.0000248
43000,0.004895,0.002197,0.0022842,0.0000246
44000,0.004644,0.003151,0.0018386,0.0000255
44000,0.004456,0.002392,0.0019009,0.0000255
44000,0.004790,0.002241,0.0024165,0.0000269
44000,0.004214,0.002428,0.0018342,0.0000256
44000,0.004392,0.002499,0.0018293,0.0000258
45000,0.004368,0.003566,0.0019436,0.0000262
45000,0.004222,0.002537,0.0021439,0.0000261
45000,0.004278,0.002478,0.0019231,0.0000266
45000,0.004317,0.002301,0.0020023,0.0000262
45000,0.004260,0.002512,0.002404,0.0000268
46000,0.003892,0.002499,0.0018099,0.0000259
46000,0.004615,0.002631,0.0019718,0.000026
46000,0.005083,0.003253,0.0021063,0.000027
46000,0.004592,0.002582,0.0019121,0.0000267
46000,0.004460,0.002575,0.0019388,0.0000267
47000,0.005010,0.002535,0.0019082,0.0000266
47000,0.004819,0.002492,0.0020191,0.0000272
47000,0.004391,0.002741,0.0018982,0.0000272
47000,0.004810,0.002522,0.0025052,0.0000459
47000,0.004444,0.002795,0.0021182,0.0000272
48000,0.004649,0.002901,0.0029513,0.0000675
48000,0.004460,0.002596,0.0023316,0.0000982
48000,0.004732,0.002835,0.0020111,0.0000278
48000,0.004472,0.002675,0.0019454,0.0000271
48000,0.004587,0.002661,0.001883,0.0000271
49000,0.004650,0.003259,0.0020875,0.0000276
49000,0.005459,0.002718,0.0021091,0.0000387
49000,0.004688,0.003097,0.0020568,0.0000283
49000,0.004859,0.002732,0.0021165,0.0000285
49000,0.004895,0.002984,0.002091,0.0000284
50000,0.004686,0.002757,0.0022328,0.0000282
50000,0.005777,0.003349,0.002307,0.0000298
50000,0.005078,0.002671,0.0020851,0.000029
50000,0.005169,0.002644,0.0020997,0.000029
50000,0.005095,0.002627,0.0020751,0.0000289
51000,0.005588,0.003469,0.002189,0.0000296
51000,0.005301,0.003266,0.0020965,0.0000295
51000,0.005453,0.002706,0.0022913,0.0000289
51000,0.004877,0.002900,0.002055,0.0000295
51000,0.005167,0.002778,0.0021054,0.0000427
52000,0.004703,0.003415,0.0022079,0.0000293
52000,0.004945,0.002991,0.002623,0.0000313
52000,0.005399,0.002902,0.0021472,0.0000658
52000,0.005142,0.002962,0.0021066,0.0000301
52000,0.004864,0.002843,0.002189,0.0000302
53000,0.005274,0.002862,0.0022149,0.0000299
53000,0.004997,0.002931,0.0021731,0.0000307
53000,0.004852,0.003033,0.002419,0.0000395
53000,0.005200,0.002860,0.0024316,0.0000312
53000,0.005473,0.002943,0.0023129,0.0000307
54000,0.005827,0.003261,0.0022546,0.0000313
